Date,open,high,low,close,adjclose,volume,ingested_at_utc
2016-01-01,32.81449890136719,32.88600158691406,30.260499954223633,30.39699935913086,30.39699935913086,550824000,2026-05-21 06:28:47.940487+00:00
2016-01-08,30.982999801635742,31.29949951171875,28.493999481201172,29.649999618530273,29.649999618530273,600436000,2026-05-21 06:28:47.940487+00:00
2016-01-15,28.61199951171875,29.440500259399414,27.358999252319336,28.750999450683594,28.750999450683594,510206000,2026-05-21 06:28:47.940487+00:00
2016-01-22,29.436500549316406,31.902999877929688,28.93899917602539,31.767499923706055,31.767499923706055,649000000,2026-05-21 06:28:47.940487+00:00
2016-01-29,28.599000930786133,29.649999618530273,25.961000442504883,26.812999725341797,26.812999725341797,871850000,2026-05-21 06:28:47.940487+00:00
2016-02-05,26.464000701904297,26.47249984741211,23.700000762939453,25.19099998474121,25.19099998474121,815918000,2026-05-21 06:28:47.940487+00:00
2016-02-12,25.53499984741211,27.059999465942383,25.074499130249023,26.25,26.25,401246000,2026-05-21 06:28:47.940487+00:00
2016-02-19,26.035499572753906,28.032499313354492,25.767499923706055,27.75749969482422,27.75749969482422,506986000,2026-05-21 06:28:47.940487+00:00
2016-02-26,28.006000518798828,29.25,27.625499725341797,28.874500274658203,28.874500274658203,427688000,2026-05-21 06:28:47.940487+00:00
2016-03-04,29.053499221801758,29.06999969482422,27.395000457763672,27.946500778198242,27.946500778198242,427412000,2026-05-21 06:28:47.940487+00:00
2016-03-11,28.34749984741211,29.076000213623047,27.750499725341797,27.972000122070312,27.972000122070312,411362000,2026-05-21 06:28:47.940487+00:00
2016-03-18,28.047000885009766,29.177499771118164,26.929000854492188,29.147499084472656,29.147499084472656,512448000,2026-05-21 06:28:47.940487+00:00
2016-03-25,29.219999313354492,30.16200065612793,28.777999877929688,29.68199920654297,29.68199920654297,281728000,2026-05-21 06:28:47.940487+00:00
2016-04-01,29.524499893188477,30.11949920654297,29.262500762939453,29.571500778198242,29.571500778198242,274720000,2026-05-21 06:28:47.940487+00:00
2016-04-08,29.715999603271484,31.2189998626709,29.450000762939453,31.037500381469727,31.037500381469727,313554000,2026-05-21 06:28:47.940487+00:00
2016-04-15,31.09600067138672,31.90049934387207,30.905500411987305,31.549999237060547,31.549999237060547,330204000,2026-05-21 06:28:47.940487+00:00
2016-04-22,31.223499298095703,31.412500381469727,29.959999084472656,30.100000381469727,30.100000381469727,444592000,2026-05-21 06:28:47.940487+00:00
2016-04-29,33.29999923706055,34.275001525878906,32.70000076293945,32.954498291015625,32.954498291015625,626644000,2026-05-21 06:28:47.940487+00:00
2016-05-06,32.8025016784668,36.122501373291016,32.800498962402344,35.89649963378906,35.89649963378906,536790000,2026-05-21 06:28:47.940487+00:00
2016-05-13,35.731998443603516,35.962501525878906,34.4379997253418,34.92599868774414,34.92599868774414,452530000,2026-05-21 06:28:47.940487+00:00
2016-05-20,35.0525016784668,35.75,34.82099914550781,35.74549865722656,35.74549865722656,285190000,2026-05-21 06:28:47.940487+00:00
2016-05-27,35.75,36.41400146484375,35.55500030517578,36.4119987487793,36.4119987487793,243144000,2026-05-21 06:28:47.940487+00:00
2016-06-03,36.33700180053711,36.57500076293945,35.92150115966797,36.38249969482422,36.38249969482422,263966000,2026-05-21 06:28:47.940487+00:00
2016-06-10,36.11750030517578,36.249000549316406,35.26499938964844,35.8754997253418,35.8754997253418,301844000,2026-05-21 06:28:47.940487+00:00
